Name,*,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
"138 St-Grand Concourse (4,5)",1,Bx,"3,136","3,123","2,793","2,557","3,537","1,015","-2,523",-71.3%,380
"149 St-Grand Concourse (2,4,5)",,Bx,"13,683","12,797","12,623","11,873","11,647","4,961","-6,686",-57.4%,97
"161 St-Yankee Stadium (B,D,4)",,Bx,"36,969","35,171","33,398","32,173","31,627","8,802","-22,825",-72.2%,37
167 St (4),,Bx,"11,942","11,579","9,981","9,822","8,986","3,815","-5,171",-57.5%,140
"167 St (B,D)",2,Bx,"12,890","12,775","12,682","7,529","10,299","3,886","-6,414",-62.3%,138
170 St (4),,Bx,"11,398","11,161","9,482","8,936","8,584","3,459","-5,126",-59.7%,162
"170 St (B,D)",,Bx,"8,737","8,633","8,558","8,037","7,420","2,738","-4,682",-63.1%,205
"174 St (2,5)",,Bx,"6,797","8,183","7,974","6,141","6,671","2,605","-4,065",-60.9%,215
"174-175 Sts (B,D)",3,Bx,"6,271","6,280","6,298","3,404","5,107","2,153","-2,954",-57.8%,258
176 St (4),,Bx,"7,318","7,459","6,549","5,937","5,637","2,396","-3,242",-57.5%,232
"182-183 Sts (B,D)",,Bx,"6,660","6,574","5,623","5,347","5,438","2,081","-3,358",-61.7%,264
183 St (4),,Bx,"7,944","7,786","7,426","6,696","6,260","2,600","-3,660",-58.5%,217
"219 St (2,5)",,Bx,"3,837","3,200","3,091","3,248","2,841","1,250","-1,592",-56.0%,356
"225 St (2,5)",,Bx,"4,935","4,403","4,003","3,936","3,539","1,501","-2,038",-57.6%,325
231 St (1),,Bx,"9,480","9,561","9,760","9,499","8,337","3,524","-4,814",-57.7%,158
"233 St (2,5)",,Bx,"6,007","5,501","4,707","4,720","4,202","1,971","-2,230",-53.1%,278
238 St (1),4,Bx,"3,719","3,977","4,174","2,578","3,411","1,607","-1,804",-52.9%,317
3 Av-138 St (6),,Bx,"9,113","8,543","8,331","8,591","8,110","3,473","-4,637",-57.2%,161
"3 Av-149 St (2,5)",,Bx,"19,003","23,393","23,901","19,975","20,597","8,652","-11,945",-58.0%,39
"Allerton Av (2,5)",,Bx,"6,388","5,889","5,559","5,379","5,491","2,077","-3,414",-62.2%,265
Baychester Av (5),,Bx,"1,683","1,343","1,402","1,840","2,368","1,342","-1,026",-43.3%,340
"Bedford Park Blvd (B,D)",,Bx,"7,377","7,234","7,819","6,428","7,060","2,646","-4,413",-62.5%,211
Bedford Park Blvd-Lehman College (4),,Bx,"6,026","5,618","5,200","4,793","4,588","1,890","-2,698",-58.8%,289
"Bronx Park East (2,5)",,Bx,"2,679","2,391","2,184","2,139","2,304",967,"-1,337",-58.0%,386
Brook Av (6),,Bx,"7,126","6,850","7,009","6,536","5,755","2,595","-3,159",-54.9%,219
Buhre Av (6),5,Bx,"1,672","2,540","2,837","2,897","2,832","1,420","-1,412",-49.9%,331
"Burke Av (2,5)",,Bx,"3,866","3,531","3,330","3,182","3,171","1,312","-1,859",-58.6%,344
Burnside Av (4),,Bx,"12,829","12,611","11,472","10,885","10,571","4,025","-6,546",-61.9%,129
Castle Hill Av (6),,Bx,"6,317","6,217","6,487","6,411","5,809","2,589","-3,220",-55.4%,221
Cypress Av (6),,Bx,"3,941","4,015","4,047","3,364","2,955","1,387","-1,568",-53.0%,335
East 143 St-St Mary's St (6),,Bx,854,872,802,767,690,460,-230,-33.4%,415
East 149 St (6),,Bx,"5,402","5,094","5,236","5,050","4,374","2,154","-2,220",-50.8%,257
"East 180 St (2,5)",,Bx,"8,065","10,226","11,725","7,791","7,479","3,121","-4,358",-58.3%,180
Eastchester-Dyre Av (5),,Bx,"1,697","1,377","1,479","2,032","2,608","1,724",-884,-33.9%,303
Elder Av (6),,Bx,"7,534","7,700","7,840","7,156","6,836","2,877","-3,959",-57.9%,192
Fordham Rd (4),,Bx,"15,423","14,781","13,431","12,386","11,507","4,318","-7,189",-62.5%,119
"Fordham Rd (B,D)",,Bx,"14,902","14,201","14,314","12,938","13,250","4,680","-8,570",-64.7%,107
"Freeman St (2,5)",,Bx,"4,463","5,434","5,291","4,020","4,414","1,754","-2,659",-60.3%,300
"Gun Hill Rd (2,5)",,Bx,"8,528","9,261","8,954","7,950","8,918","2,766","-6,152",-69.0%,202
Gun Hill Rd (5),6,Bx,"2,489","2,079","2,167","2,814","2,846","1,273","-1,573",-55.3%,353
Hunts Point Av (6),,Bx,"11,670","10,136","9,903","10,189","9,131","4,464","-4,667",-51.1%,116
"Intervale Av (2,5)",,Bx,"2,832","3,435","3,431","2,666","3,025","1,292","-1,733",-57.3%,349
"Jackson Av (2,5)",,Bx,"5,063","6,071","6,011","4,553","4,900","2,023","-2,878",-58.7%,271
Kingsbridge Rd (4),,Bx,"10,965","10,531","9,858","9,045","8,808","3,708","-5,100",-57.9%,148
"Kingsbridge Rd (B,D)",,Bx,"8,995","8,903","9,086","8,380","8,402","3,249","-5,153",-61.3%,177
Longwood Av (6),7,Bx,"3,692","3,365","3,487","3,239","2,612","1,066","-1,546",-59.2%,376
Middletown Rd (6),,Bx,"1,879","1,315","1,403","1,415","1,350",705,-645,-47.8%,405
Morris Park (5),,Bx,679,779,802,955,"1,266",872,-394,-31.1%,395
Morrison Av-Soundview (6),,Bx,"7,447","7,520","7,540","6,748","6,499","2,734","-3,765",-57.9%,206
Mosholu Pkwy (4),,Bx,"9,816","9,256","8,527","8,164","7,993","3,482","-4,511",-56.4%,160
Mt Eden Av (4),,Bx,"6,623","6,435","5,612","5,360","5,040","2,250","-2,790",-55.4%,243
"Nereid Av (2,5)",,Bx,"3,501","3,188","2,933","2,923","2,593","1,285","-1,308",-50.5%,351
Norwood-205 St (D),,Bx,"10,070","9,797","9,127","8,534","8,474","3,594","-4,880",-57.6%,153
Parkchester (6),,Bx,"18,457","17,932","17,051","15,597","14,771","6,026","-8,745",-59.2%,71
Pelham Bay Park (6),,Bx,"8,134","6,733","6,991","6,675","6,353","2,599","-3,754",-59.1%,218
"Pelham Pkwy (2,5)",,Bx,"10,586","10,022","9,452","8,836","9,101","3,339","-5,761",-63.3%,172
Pelham Pkwy (5),,Bx,944,858,866,"1,084","1,369","1,107",-263,-19.2%,371
"Prospect Av (2,5)",,Bx,"6,935","8,587","8,324","6,381","6,973","2,792","-4,181",-60.0%,199
"Simpson St (2,5)",,Bx,"9,234","10,504","10,334","7,792","9,164","3,363","-5,801",-63.3%,171
St Lawrence Av (6),,Bx,"4,633","4,776","4,898","4,482","4,365","1,754","-2,611",-59.8%,301
"Tremont Av (B,D)",,Bx,"11,209","10,921","10,962","10,951","10,314","3,917","-6,396",-62.0%,133
Van Cortlandt Park-242 St (1),,Bx,"7,302","7,317","6,865","6,728","5,894","2,680","-3,214",-54.5%,208
Wakefield-241 St (2),,Bx,"6,094","6,069","5,027","4,954","4,534","1,943","-2,591",-57.1%,281
"West Farms Sq-East Tremont Av (2,5)",,Bx,"7,230","8,447","8,074","6,283","7,097","2,588","-4,509",-63.5%,222
Westchester Sq-East Tremont Av (6),,Bx,"5,464","4,784","4,999","4,903","4,435","2,283","-2,152",-48.5%,240
Whitlock Av (6),,Bx,"1,864","1,913","2,035","2,013","1,850",842,"-1,008",-54.5%,400
